name,department
CloudDevTeam,Engineering
ProductResearchTeam,Data Science
InfraOpsTeam,Data Science
CloudOpsTeam,Research
CloudResearchTeam,Research
CoreDevTeam,Engineering
AIResearchTeam,Engineering
InfraResearchTeam,Data Science
AIResearchTeam,Research
InfraTeam,Research
CoreOpsTeam,Data Science
InnovationTeam,Research
ProductResearchTeam,Engineering
DataOpsTeam,Operations
AnalyticsResearchTeam,Product
DataResearchTeam,Data Science
AnalyticsResearchTeam,Engineering
CloudResearchTeam,Operations
CloudOpsTeam,Product
AnalyticsOpsTeam,Research
ProductTeam,Engineering
InnovationResearchTeam,Research
CloudDevTeam,Operations
CloudResearchTeam,Research
ProductOpsTeam,Research
AnalyticsDevTeam,Research
InfraTeam,Engineering
AIOpsTeam,Data Science
ProductOpsTeam,Engineering
InfraOpsTeam,Engineering
CoreTeam,Product
InnovationResearchTeam,Product
DataOpsTeam,Product
AnalyticsOpsTeam,Data Science
ProductResearchTeam,Engineering
DataOpsTeam,Research
InfraDevTeam,Data Science
InnovationResearchTeam,Operations
ProductResearchTeam,Research
InfraOpsTeam,Product
AIDevTeam,Data Science
AIOpsTeam,Product
CoreResearchTeam,Product
CloudTeam,Data Science
AnalyticsTeam,Data Science
InnovationDevTeam,Operations
InnovationResearchTeam,Data Science
ProductTeam,Data Science
InfraDevTeam,Research
ProductTeam,Research
CoreDevTeam,Research
CoreResearchTeam,Product
InfraOpsTeam,Data Science
InnovationDevTeam,Engineering
AIDevTeam,Engineering
DataResearchTeam,Data Science
CoreDevTeam,Research
CloudTeam,Operations
CoreTeam,Research
InnovationResearchTeam,Research
ProductTeam,Research
AITeam,Engineering
ProductResearchTeam,Product
CloudDevTeam,Product
CoreDevTeam,Data Science
InnovationResearchTeam,Engineering
ProductTeam,Research
DataDevTeam,Research
CloudOpsTeam,Product
InfraTeam,Data Science
AnalyticsDevTeam,Data Science
AITeam,Research
AnalyticsTeam,Operations
AIResearchTeam,Engineering
AnalyticsDevTeam,Product
InfraDevTeam,Engineering
InfraDevTeam,Research
CloudResearchTeam,Engineering
InnovationDevTeam,Engineering
DataTeam,Data Science
InnovationOpsTeam,Research
DataOpsTeam,Product
CoreDevTeam,Data Science
InfraTeam,Product
CoreResearchTeam,Product
InnovationTeam,Research
InnovationTeam,Engineering
InfraDevTeam,Data Science
CloudTeam,Product
AIResearchTeam,Research
InfraOpsTeam,Research
InfraOpsTeam,Engineering
CloudTeam,Engineering
InfraOpsTeam,Engineering
AIOpsTeam,Product
CloudTeam,Research
InfraDevTeam,Product
InnovationDevTeam,Data Science
DataTeam,Research
InnovationOpsTeam,Data Science
InnovationOpsTeam,Operations
InfraTeam,Engineering
CloudOpsTeam,Operations
AnalyticsOpsTeam,Operations
CoreOpsTeam,Operations
AIDevTeam,Engineering
AIDevTeam,Operations
AnalyticsResearchTeam,Engineering
InfraDevTeam,Data Science
InfraTeam,Research
InnovationTeam,Data Science
CoreDevTeam,Data Science
ProductResearchTeam,Operations
InfraDevTeam,Engineering
InnovationTeam,Research
CloudOpsTeam,Engineering
AITeam,Engineering
InfraDevTeam,Data Science
CoreOpsTeam,Operations
InnovationOpsTeam,Data Science
CoreResearchTeam,Engineering
DataOpsTeam,Operations
AITeam,Operations
ProductTeam,Operations
ProductOpsTeam,Operations
InnovationDevTeam,Data Science
InfraTeam,Product
InfraResearchTeam,Engineering
AIDevTeam,Product
AIDevTeam,Engineering
InnovationOpsTeam,Research
DataOpsTeam,Engineering
CloudResearchTeam,Data Science
CloudTeam,Research
CloudTeam,Data Science
CoreResearchTeam,Engineering
InfraDevTeam,Research
AIOpsTeam,Research
CloudResearchTeam,Operations
AnalyticsTeam,Product
InfraResearchTeam,Product
InfraDevTeam,Product
CoreResearchTeam,Data Science
ProductDevTeam,Operations
AnalyticsTeam,Engineering
AITeam,Operations
CloudOpsTeam,Engineering
InfraResearchTeam,Research
ProductTeam,Data Science
AnalyticsOpsTeam,Engineering
